ArtikelNr;Beschreibung;Beschreibung2;T24ID;POG;PUG;REF;HANDLING;FAKTOR;ORIGINAL;Prio
008091122;Bridgestone 215/45 R 17  87 W   TL;RE 050 A SUBARU -DOT 14-;64627;76,7;65,962;4;1;0,92;;1
008091122;Bridgestone 215/45 R 17  87 W   TL;RE 050 A SUBARU -DOT 14-;295498;76,7;65,962;4;1;0,92;;1
008091122;Bridgestone 215/45 R 17  87 W   TL;RE 050 A SUBARU -DOT 14-;375759;76,7;65,962;4;1;0,92;;1
008091124;Bridgestone 255/60 R 17 106 V   TL;Dueler H/P Sport VO -DOT 14-;377956;93,7;80,582;4;0;;-1;1
008091124;Bridgestone 255/60 R 17 106 V   TL;Dueler H/P Sport VO -DOT 14-;38184;93,7;80,582;4;1;0,92;;1
008091124;Bridgestone 255/60 R 17 106 V   TL;Dueler H/P Sport VO -DOT 14-;330533;93,7;80,582;4;1;0,92;;1
008091126;Bridgestone 285/45 R 19 107 W   TL;ER 30 MO -DOT 14-;40274;139,6;120,056;4;1;0,92;;1
008091126;Bridgestone 285/45 R 19 107 W   TL;ER 30 MO -DOT 14-;239569;139,6;120,056;4;1;0,92;;1
008091130;Bridgestone 255/55 R 18 XL 109 H   TL;Dueler H/L 400 RFT * -DOT 14-;46789;109,3;93,998;4;1;0,92;;1
008091131;Bridgestone 245/40 R 19  94 V   TL;LM 25 -DOT 14-;377959;160,6;138,116;4;0;;-1;1
008091139;Bridgestone 215/75 R 17.5 135/133 J  TL;R 168 -DOT 11-;379477;174,9;146,28;2;0;;-1;1
008091156;Bridgestone 225/70 R 15 C 112 R   TL;W 810 -DOT 14-;385301;66,5;57,19;4;0;;-1;1
008091156;Bridgestone 225/70 R 15 C 112 R   TL;W 810 -DOT 14-;285941;66,5;57,19;4;1;0,92;;1
008091156;Bridgestone 225/70 R 15 C 112 R   TL;W 810 -DOT 14-;291031;66,5;57,19;4;1;0,92;;1
008091157;Bridgestone 195/70 R 15 C 104 R   TL;W 810 -DOT 14-;377630;51,8;44,548;4;0;;-1;1
008091157;Bridgestone 195/70 R 15 C 104 R   TL;W 810 -DOT 14-;289025;51,8;44,548;4;1;0,92;;1
008091157;Bridgestone 195/70 R 15 C 104 R   TL;W 810 -DOT 14-;284066;51,8;44,548;4;1;0,92;;1
008091158;Bridgestone 205/70 R 15 C 106 R   TL;W 810 -DOT 14-;291240;60,3;51,858;4;1;0,92;;1
008091160;Bridgestone 205/75 R 16 C 110 R   TL;W 810 -DOT 14-;357549;68,6;58,996;4;1;0,92;;1
008091161;Bridgestone 165/65 R 14  79 T   TL;LM 30 -DOT 14-;318524;27;23,22;4;1;0,92;;1
008091162;Bridgestone 215/55 R 16  93 H   TL;LM 32 -DOT 14-;373197;58,5;50,31;4;0;;-1;1
008091162;Bridgestone 215/55 R 16  93 H   TL;LM 32 -DOT 14-;357651;58,5;50,31;4;1;0,92;;1
008091166;Bridgestone 175/65 R 14  82 T   TL;Ecopia EP 25 -DEMO-;244391;31,9;27,434;4;1;0,92;;1
008091166;Bridgestone 175/65 R 14  82 T   TL;Ecopia EP 25 -DEMO-;294035;31,9;27,434;4;1;0,92;;1
008091166;Bridgestone 175/65 R 14  82 T   TL;Ecopia EP 25 -DEMO-;363870;31,9;27,434;4;1;0,92;;1
008091166;Bridgestone 175/65 R 14  82 T   TL;Ecopia EP 25 -DEMO-;294524;31,9;27,434;4;1;0,92;;1
008091166;Bridgestone 175/65 R 14  82 T   TL;Ecopia EP 25 -DEMO-;326132;31,9;27,434;4;1;0,92;;1
008091167;Bridgestone 245/45 R 17  95 W   TL;RE 050 RFT * -gebraucht ca.95%;28083;106,9;91,934;4;1;1;;1
008091167;Bridgestone 245/45 R 17  95 W   TL;RE 050 RFT * -gebraucht ca.95%;32094;106,9;91,934;4;1;1;;1
008091168;Bridgestone 275/40 R 18  99 W   TL;RE 050 A RFT * -gebraucht ca.90%;28895;165,3;142,158;4;1;1;;1
010003455;Continental 215/65 R 16 XL 102 V   TL;4x4 Contact # 0354907000;368154;85,9;73,874;4;0;;-1;1
010004540;Continental 13  R 22.5 154/150 K  TL;HDW 3PMSF M+S # 0573566000;17822;431,2;360,64;2;0;;-1;1
010006920;Continental 5.00 -  8 106A5 TT 8PR;IC 10 # 0700370000;36962;;70,4;2;0;;-1;1
010006990;Continental 18 x 7 -  8 125A5 TT 16 PR;IC 12 (180/70-8) # 0700588000;36968;;79,2;2;0;;-1;1
010007110;Continental 23 x 9 - 10 142A5 TT 20 PR;IC 40 # 0730050000;190585;;174,9;2;0;;-1;1
