ArtikelNr;Beschreibung;Beschreibung2;T24ID;POG;PUG;REF;HANDLING;FAKTOR;ORIGINAL;Prio
008069290;Bridgestone 160/60 ZR17  (69W)  TL;BT 016 PRO REAR # 06375;253578;71,5;65,99;1;0;;-1;2
008069300;Bridgestone 160/60 ZR18  (70W)  TL;BT 016 PRO REAR # 06376;253270;77,6;71,236;1;0;;-1;2
008069310;Bridgestone 170/60 ZR17  (72W)  TL;BT 016 PRO REAR # 06377;255603;80,9;74,074;1;0;;-1;2
008069340;Bridgestone 130/90 - 16  67 H   TT;E-Max FRONT # 06136;241912;89,5;81,47;1;0;;-1;2
008069410;Bridgestone 245/40 R 19 XL  98 Y   TL;S001 # 05819;236150;143,5;123,41;4;0;;-1;2
008069420;Bridgestone 245/35 R 20 XL  95 Y   TL;S001 # 05820;242313;154,7;133,042;4;0;;-1;2
008069440;Bridgestone 245/30 R 20 XL  90 Y   TL;S001 # 05822;245162;173,6;149,296;4;0;;-1;2
008069650;Bridgestone 225/45 R 17  91 W   TL;S001 # 06214;240138;79,8;68,628;4;0;;-1;2
008069700;Bridgestone 245/40 R 19  94 Y   TL;ER 300 RFT * # 05829;236148;185;159,1;4;0;;-1;2
008069710;Bridgestone 275/35 R 19  96 Y   TL;ER 300 RFT * # 05830;236149;272,7;234,522;4;0;;-1;2
008069810;Bridgestone 120/70 ZR17  (58W)  TL;BT 023 F FRONT # 06416;251340;82,4;75,364;1;0;;-1;2
008069820;Bridgestone 180/55 ZR17  (73W)  TL;BT 023 F REAR # 06417;251341;111,6;100,476;1;0;;-1;2
008069830;Bridgestone 120/70 ZR18  (59W)  TL;E-Max FRONT # 06074;257388;112,8;101,508;1;0;;-1;2
008069910;Bridgestone 235/55 R 17  99 Y   TL;S001 AO # 05831;247765;110,2;94,772;4;0;;-1;2
008069990;Bridgestone 150/70 R 18  70 W   TL;BT 016 PRO REAR # 06374;302725;80,6;73,816;1;0;;-1;2
008070130;Bridgestone 235/65 R 17 104 V   TL;Dueler H/P Sport # 06559;241949;97,4;83,764;4;0;;-1;2
008070390;Bridgestone 235/60 R 16 100 H   TL;Dueler H/P Sport # 06515;243475;74,2;63,812;4;0;;-1;2
008070400;Bridgestone 235/65 R 17 104 H   TL;Dueler H/P Sport # 06511;241947;92,1;79,206;4;0;;-1;2
008070470;Bridgestone 175/65 R 14  82 T   TL;Ecopia EP 25 # 06427;244391;35,8;30,788;4;0;;-1;2
